id,created,updated,is_active,state
e10a1e9f-320c-4b36-b13b-b1826e548650,2023-10-18 11:44:09.441232-06,2023-10-18 11:44:09.44125-06,t,Aguascalientes
946fc68f-145d-4fc7-8ce8-f8652fe01819,2023-10-18 11:44:29.123848-06,2023-10-18 11:44:29.123869-06,t,Baja California Norte
10128636-d215-4d26-b840-c64bdd3b6b9d,2023-10-18 11:44:36.301111-06,2023-10-18 11:44:36.301129-06,t,Baja California Sur
03e89d97-66c7-4e02-b486-db7c3134ea3d,2023-10-18 11:44:42.132616-06,2023-10-18 11:44:42.132635-06,t,Campeche
90f0be6c-367f-4f9e-a925-7785483a6998,2023-10-18 11:44:46.621246-06,2023-10-18 11:44:46.621268-06,t,Colima
a2e39002-19be-4f32-9367-b0cf5f4fd203,2023-10-18 11:45:28.331222-06,2023-10-18 11:45:28.331242-06,t,Chiapas
f0462a2e-7adf-4401-aa42-5bae3c95266b,2023-10-18 11:46:09.96947-06,2023-10-18 11:46:09.96949-06,t,Chihuhua
826ebeae-c724-4cea-9975-25e46c989793,2023-10-18 11:47:01.520663-06,2023-10-18 11:47:01.520682-06,t,Ciudad de México
e4572231-2b49-43df-b6cb-b717d2727d8d,2023-10-18 11:47:23.907612-06,2023-10-18 11:47:23.907631-06,t,Coahuila
e665a095-0c5e-4c93-a3c9-b2e0bf4dac0b,2023-10-18 11:47:56.800097-06,2023-10-18 11:47:56.800118-06,t,Durango
b20ef35a-9879-4631-9c21-c2e22cfe4fbd,2023-10-18 11:48:10.945839-06,2023-10-18 11:48:10.945857-06,t,Guanajuato
af583875-d900-4521-bb59-29c1b7f9aad3,2023-10-18 11:48:30.005923-06,2023-10-18 11:48:30.005943-06,t,Guerrero
7c0dd927-f70d-4641-91be-2942158f38e0,2023-10-18 11:49:17.914135-06,2023-10-18 11:49:17.914156-06,t,Hidalgo
32a3bce8-2a55-4bb4-a887-9d607388c513,2023-10-18 11:49:43.202001-06,2023-10-18 11:49:43.20202-06,t,Jalisco
310ab4a1-2b67-41e3-ae90-215919a364ec,2023-10-18 11:50:04.292397-06,2023-10-18 11:50:04.292415-06,t,México
f55e9dc7-4311-4400-aced-6e73702ed33d,2023-10-18 11:50:24.104661-06,2023-10-18 11:50:24.10468-06,t,Michoacán
7a994d2c-a55e-4ddd-ad4e-700f90e1289f,2023-10-18 11:50:39.725104-06,2023-10-18 11:50:39.725139-06,t,Morelos
6179f01b-e844-4ba5-808e-592bc6abe9e5,2023-10-18 11:53:57.025805-06,2023-10-18 11:53:57.025824-06,t,Nayarit
e6910c25-a28d-48f1-900a-abe8fcf2459f,2023-10-18 11:54:31.487592-06,2023-10-18 11:54:31.487612-06,t,Nuevo León
a7dd5442-0447-4c79-899f-dd373d75eeef,2023-10-18 11:54:52.354601-06,2023-10-18 11:54:52.354621-06,t,Oaxaca
b7d44392-6f30-414c-af38-e720b31875cc,2023-10-18 11:55:48.516125-06,2023-10-18 11:55:48.516156-06,t,Puebla
b0f0c069-4629-4e6e-ab93-7a552a797479,2023-10-18 11:56:02.064019-06,2023-10-18 11:56:02.064043-06,t,Queretaro
d8bd4edb-9fcb-4c30-afe5-a098b08612e3,2023-10-18 11:56:27.463569-06,2023-10-18 11:56:27.463582-06,t,Quintana Roo
c9cc669f-d943-4986-b919-e5ff7f93ddc1,2023-10-18 11:56:40.524173-06,2023-10-18 11:56:40.524192-06,t,Tabasco
61801751-0527-4e93-9a85-bb6b42f70c62,2023-10-18 11:56:57.364246-06,2023-10-18 11:56:57.364265-06,t,Tamaulipas
922081db-4bcd-4b7e-862e-a2c5f117077e,2023-10-18 11:57:58.246821-06,2023-10-18 11:57:58.246841-06,t,Tlaxcala
aab880c9-efba-4dba-88ae-4f37f995908e,2023-10-18 11:58:18.091109-06,2023-10-18 11:58:18.091129-06,t,San Luis Potosí
fcea1504-c7ce-4dab-8eb8-4000c9605d2f,2023-10-18 11:58:51.137289-06,2023-10-18 11:58:51.137323-06,t,Sinaloa
cc739648-79b9-4f49-8e72-66aa9ed0662c,2023-10-18 11:59:49.48214-06,2023-10-18 11:59:49.482159-06,t,Sonora
86e9608e-7537-4356-bedf-f512784106a7,2023-10-18 12:00:06.074282-06,2023-10-18 12:00:06.074301-06,t,Veracruz
5b3a8e99-07e6-419d-b29a-de648d8a5ed2,2023-10-18 12:00:46.469932-06,2023-10-18 12:00:46.46995-06,t,Yucatán
ef4a8b77-77e0-4e5c-b3d5-15e2a5bb4257,2023-10-18 12:01:02.463055-06,2023-10-18 12:01:02.463102-06,t,Zacatecas
